latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,37.0,0,GMT,GMT

time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),sunshine_duration (s)
2018-07-07,19.3,0.00,0.00,51449.03
2018-07-08,20.3,1.50,0.00,51555.28
2018-07-09,19.5,0.20,0.00,47162.53
2018-07-10,16.8,0.20,0.00,35917.72
2018-07-11,17.0,4.40,0.00,22064.58
2018-07-12,16.9,47.00,0.00,0.00
2018-07-13,20.2,0.20,0.00,52809.71
2018-07-14,18.6,0.00,0.00,53249.31
2018-07-15,18.4,0.00,0.00,53291.77
2018-07-16,20.6,0.00,0.00,53227.02
2018-07-17,21.6,0.10,0.00,37756.08
2018-07-18,21.7,0.00,0.00,38492.67
2018-07-19,20.3,0.00,0.00,38452.54
2018-07-20,20.2,0.00,0.00,52783.77
2018-07-21,20.9,0.10,0.00,45405.79
2018-07-22,22.0,0.00,0.00,32769.72
2018-07-23,22.3,0.10,0.00,52389.67
2018-07-24,24.0,0.00,0.00,50713.52
2018-07-25,25.3,0.00,0.00,51883.89
2018-07-26,25.5,0.00,0.00,51991.99
2018-07-27,25.7,0.50,0.00,49360.93
2018-07-28,25.7,1.50,0.00,48507.12
2018-07-29,23.9,3.30,0.00,50869.32
2018-07-30,26.7,0.00,0.00,50968.57
2018-07-31,28.8,0.00,0.00,50755.31
2018-08-01,28.0,0.40,0.00,50658.71
2018-08-02,25.4,5.90,0.00,43424.04
2018-08-03,26.8,0.00,0.00,50455.96
2018-08-04,27.1,0.00,0.00,49993.41
2018-08-05,22.1,0.30,0.00,49993.84
2018-08-06,22.6,0.00,0.00,49902.58
2018-08-07,27.7,0.00,0.00,49690.23
2018-08-08,29.9,0.00,0.00,48194.30
2018-08-09,27.3,0.90,0.00,49511.72
2018-08-10,21.7,0.00,0.00,37176.82
2018-08-11,19.8,0.20,0.00,47113.92
2018-08-12,20.1,0.00,0.00,48640.75
2018-08-13,22.6,1.00,0.00,34753.39
2018-08-14,21.0,0.90,0.00,47321.43
2018-08-15,20.2,0.80,0.00,36987.73
2018-08-16,22.9,0.00,0.00,48429.86
2018-08-17,24.6,0.00,0.00,48127.45
2018-08-18,21.3,0.00,0.00,44964.57
2018-08-19,22.5,0.00,0.00,47536.55
2018-08-20,21.5,0.20,0.00,26983.22
2018-08-21,19.2,0.00,0.00,46967.07
2018-08-22,20.7,0.00,0.00,46811.80
2018-08-23,25.2,0.00,0.00,43981.40
2018-08-24,20.5,2.30,0.00,40584.52
2018-08-25,16.5,0.90,0.00,34814.39
2018-08-26,15.4,0.00,0.00,41178.23
2018-08-27,17.7,0.30,0.00,21919.04
2018-08-28,17.9,0.10,0.00,35231.00
2018-08-29,20.0,0.00,0.00,44858.31
2018-08-30,17.4,5.50,0.00,0.00
2018-08-31,16.0,0.10,0.00,41618.46
2018-09-01,16.7,0.00,0.00,43192.30
2018-09-02,18.9,1.70,0.00,25318.54
2018-09-03,22.1,0.00,0.00,43227.81
2018-09-04,20.0,0.00,0.00,43238.89
2018-09-05,19.3,0.40,0.00,30301.88
2018-09-06,19.9,0.10,0.00,42823.09
2018-09-07,18.5,3.40,0.00,22879.53
2018-09-08,16.5,0.00,0.00,43093.38
2018-09-09,18.9,0.00,0.00,39600.00
2018-09-10,19.7,0.00,0.00,26192.64
2018-09-11,20.8,1.20,0.00,32303.21
2018-09-12,20.4,0.00,0.00,42462.45
2018-09-13,14.8,4.10,0.00,0.00
2018-09-14,16.2,0.20,0.00,31698.02
2018-09-15,16.4,0.00,0.00,38965.55
2018-09-16,16.0,0.00,0.00,31160.54
2018-09-17,18.3,0.00,0.00,41255.21
2018-09-18,21.0,0.00,0.00,41013.68
2018-09-19,22.0,0.00,0.00,40772.41
2018-09-20,22.1,0.00,0.00,38138.89
2018-09-21,20.2,4.70,0.00,27405.34
2018-09-22,14.2,1.70,0.00,33123.09
2018-09-23,10.9,22.30,0.00,3067.31
2018-09-24,9.9,0.70,0.00,39486.33
2018-09-25,9.2,0.00,0.00,39192.77
2018-09-26,12.0,0.00,0.00,32005.13
2018-09-27,16.9,0.00,0.00,33021.64
2018-09-28,12.4,0.00,0.00,25180.57
2018-09-29,9.7,0.00,0.00,33705.80
2018-09-30,10.0,0.00,0.00,37186.66
2018-10-01,9.1,1.70,0.00,30847.03
2018-10-02,8.2,2.20,0.00,8631.76
2018-10-03,11.0,1.00,0.00,35915.30
2018-10-04,11.0,0.00,0.00,1585.61
2018-10-05,13.7,0.00,0.00,36118.22
2018-10-06,15.2,0.00,0.00,36095.93
2018-10-07,11.3,1.20,0.00,15086.82
2018-10-08,8.4,0.00,0.00,35684.29
2018-10-09,10.9,0.00,0.00,33682.02
2018-10-10,14.6,0.00,0.00,35356.24
2018-10-11,17.2,0.00,0.00,35217.57
2018-10-12,17.0,0.00,0.00,35057.86
2018-10-13,16.7,0.00,0.00,34807.13
2018-10-14,17.3,0.00,0.00,34555.25
2018-10-15,15.9,0.00,0.00,33614.61
2018-10-16,14.2,0.00,0.00,34048.69
2018-10-17,13.2,0.00,0.00,33794.38
2018-10-18,12.5,0.70,0.00,28707.14
2018-10-19,9.4,0.00,0.00,32739.46
2018-10-20,8.9,0.00,0.00,16217.01
2018-10-21,9.3,0.00,0.00,32218.12
2018-10-22,8.5,1.50,0.00,8783.98
2018-10-23,9.1,7.20,0.00,0.00
2018-10-24,9.4,0.50,0.00,25043.82
2018-10-25,11.0,1.30,0.00,15036.60
2018-10-26,10.4,0.60,0.00,16088.16
2018-10-27,7.6,0.00,0.00,19376.70
2018-10-28,6.1,0.90,0.00,10800.00
2018-10-29,5.1,0.00,0.00,0.00
2018-10-30,13.3,0.30,0.00,29314.81
2018-10-31,8.8,0.00,0.00,30083.22
2018-11-01,8.7,0.00,0.00,22382.53
2018-11-02,9.2,0.00,0.00,25265.20
2018-11-03,7.0,0.00,0.00,15190.13
2018-11-04,9.4,0.00,0.00,4869.41
2018-11-05,11.7,0.00,0.00,28314.94
2018-11-06,11.8,0.00,0.00,28381.27
2018-11-07,10.1,0.00,0.00,28084.07
2018-11-08,8.3,0.00,0.00,20355.36
2018-11-09,8.6,1.60,0.00,0.00
2018-11-10,8.5,0.00,0.00,26296.49
2018-11-11,9.1,2.10,0.00,13854.32
2018-11-12,11.4,0.10,0.00,20295.15
2018-11-13,10.3,4.80,0.00,4840.06
2018-11-14,8.4,0.00,0.00,22197.53
2018-11-15,7.3,0.00,0.00,26079.59
2018-11-16,5.3,0.00,0.00,26506.65
2018-11-17,2.3,0.00,0.00,26291.69
2018-11-18,1.0,0.00,0.00,14854.30
2018-11-19,3.4,1.40,0.00,12052.11
2018-11-20,2.1,0.00,0.35,697.84
2018-11-21,1.3,0.00,0.00,0.00
2018-11-22,1.5,0.00,0.00,9323.46
2018-11-23,2.3,0.00,0.00,2132.23
2018-11-24,1.3,0.50,0.00,176.15
2018-11-25,3.9,0.10,0.00,57.74
2018-11-26,2.1,0.00,0.00,0.00
2018-11-27,-0.4,0.00,0.00,8788.20
2018-11-28,-0.6,0.00,0.00,24030.22
2018-11-29,-0.2,0.00,0.00,21670.09
2018-11-30,0.5,5.30,0.00,0.00
2018-12-01,3.3,0.20,0.00,728.19
2018-12-02,6.6,2.90,0.00,0.00
2018-12-03,9.6,3.70,0.00,8268.73
2018-12-04,5.9,0.30,0.00,22219.60
2018-12-05,1.7,0.00,0.00,22611.14
2018-12-06,5.4,0.90,0.00,7532.76
2018-12-07,10.2,8.50,0.00,0.00
2018-12-08,6.7,2.40,0.00,8381.04
2018-12-09,6.8,6.10,0.00,1646.70
2018-12-10,3.9,1.80,0.14,21538.36
2018-12-11,3.3,4.70,0.21,10800.00
2018-12-12,1.7,0.00,0.00,21106.22
2018-12-13,1.3,0.40,0.14,0.00
2018-12-14,-0.5,0.00,0.00,12501.57
2018-12-15,-0.8,0.00,0.00,11854.88
2018-12-16,-0.8,0.00,0.21,10469.32
2018-12-17,0.0,0.00,0.00,0.00
2018-12-18,3.3,0.20,0.00,3583.96
2018-12-19,1.8,0.20,0.00,2847.67
2018-12-20,3.6,0.20,0.00,626.39
2018-12-21,6.5,9.00,0.00,0.00
2018-12-22,5.7,6.00,0.00,453.01
2018-12-23,5.3,3.40,0.00,0.00
2018-12-24,2.1,1.10,0.00,0.00
2018-12-25,4.6,0.30,0.00,1733.74
2018-12-26,5.9,0.50,0.00,0.00
2018-12-27,5.3,0.60,0.00,0.00
2018-12-28,6.1,0.40,0.00,1277.22
2018-12-29,5.6,3.10,0.00,0.00
2018-12-30,5.8,4.40,0.00,10569.61
2018-12-31,4.9,0.00,0.00,0.00
2019-01-01,6.1,1.90,0.00,10872.80
2019-01-02,1.8,0.00,0.00,17723.70
2019-01-03,-0.7,0.10,0.21,16116.76
2019-01-04,1.9,0.50,0.07,0.00
2019-01-05,5.5,1.10,0.00,11558.11
2019-01-06,1.3,0.00,0.00,17392.83
2019-01-07,3.4,3.70,0.00,0.00
2019-01-08,4.5,10.00,0.00,0.00
2019-01-09,1.9,5.00,3.01,0.00
2019-01-10,0.6,0.30,0.00,22350.84
2019-01-11,2.2,0.70,1.40,0.00
2019-01-12,4.1,3.60,0.00,0.00
2019-01-13,6.0,8.00,0.00,0.00
2019-01-14,1.9,0.00,0.07,20012.13
2019-01-15,3.6,3.30,0.56,0.00
2019-01-16,5.9,1.10,0.00,0.00
2019-01-17,4.1,4.40,0.98,19791.54
2019-01-18,0.1,0.10,1.33,24278.68
2019-01-19,-0.7,0.00,0.00,16782.55
2019-01-20,-3.2,0.00,0.00,22607.69
2019-01-21,-3.1,0.00,0.00,14950.25
2019-01-22,-3.6,0.00,0.00,24739.66
2019-01-23,-5.3,0.00,0.00,25896.38
2019-01-24,-3.8,0.00,0.00,0.00
2019-01-25,-3.6,0.00,0.07,4419.76
2019-01-26,0.5,4.40,1.26,0.00
2019-01-27,3.3,3.10,0.00,3879.62
2019-01-28,2.6,2.80,0.00,12480.55
2019-01-29,-0.4,0.50,0.49,18260.57
2019-01-30,-0.7,0.00,0.00,26952.73
2019-01-31,0.4,0.00,0.00,15447.43
2019-02-01,-0.7,0.00,0.00,2989.99
2019-02-02,0.5,1.20,3.71,0.00
2019-02-03,0.9,0.60,0.21,0.00
2019-02-04,0.8,0.00,0.00,28033.05
2019-02-05,2.2,0.00,0.28,3689.24
2019-02-06,2.5,0.00,0.00,27514.25
2019-02-07,2.4,0.10,0.00,19367.06
2019-02-08,4.9,0.00,0.00,19297.54
2019-02-09,7.1,2.10,0.00,20157.88
2019-02-10,6.7,8.10,0.00,0.00
2019-02-11,4.1,2.80,0.28,19522.56
2019-02-12,2.7,0.10,0.00,30083.64
2019-02-13,6.2,0.50,0.00,0.00
2019-02-14,5.6,0.20,0.00,29044.57
2019-02-15,3.5,0.00,0.00,31346.07
2019-02-16,5.8,0.00,0.00,31494.77
2019-02-17,4.6,0.00,0.00,31592.07
2019-02-18,5.1,0.00,0.00,31810.67
2019-02-19,6.3,1.20,0.00,18976.10
2019-02-20,6.5,0.20,0.00,20684.29
2019-02-21,8.0,4.20,0.00,7024.91
2019-02-22,2.3,0.60,0.00,32205.17
2019-02-23,-0.9,0.00,0.00,33037.14
2019-02-24,2.4,0.00,0.00,32838.11
2019-02-25,4.8,0.00,0.00,33540.06
2019-02-26,5.8,0.00,0.00,26731.94
2019-02-27,6.6,0.00,0.00,33174.01
2019-02-28,7.6,0.00,0.00,33687.89
2019-03-01,4.4,0.40,0.00,2393.32
2019-03-02,4.1,0.00,0.00,11708.23
2019-03-03,8.5,4.30,0.00,419.46
2019-03-04,9.3,1.80,0.00,19645.20
2019-03-05,6.2,1.20,0.00,31064.76
2019-03-06,6.8,0.00,0.00,23011.19
2019-03-07,10.2,1.90,0.00,19266.78
2019-03-08,7.2,1.20,0.00,16599.45
2019-03-09,6.9,10.70,0.00,17530.50
2019-03-10,4.8,10.10,1.26,2608.31
2019-03-11,3.0,3.30,0.63,15134.79
2019-03-12,5.2,0.10,0.00,7564.27
2019-03-13,6.9,2.90,0.00,28633.85
2019-03-14,5.6,8.90,0.00,7140.50
2019-03-15,7.5,3.40,0.00,14555.14
2019-03-16,6.9,4.80,0.00,3115.86
2019-03-17,7.9,2.30,0.00,18604.92
2019-03-18,5.0,2.50,0.00,31345.31
2019-03-19,4.3,0.30,0.00,36462.12
2019-03-20,6.3,0.00,0.00,29218.30
2019-03-21,10.2,0.00,0.00,10547.56
2019-03-22,8.8,0.00,0.00,26097.81
2019-03-23,10.2,0.00,0.00,39972.58
2019-03-24,6.6,0.00,0.00,29967.21
2019-03-25,4.6,2.50,0.49,25153.69
2019-03-26,5.0,0.10,0.00,10177.24
2019-03-27,6.8,0.10,0.00,3600.00
2019-03-28,8.9,3.50,0.00,0.00
2019-03-29,9.6,0.00,0.00,14304.84
2019-03-30,9.8,0.00,0.00,42042.82
2019-03-31,7.4,0.00,0.00,42183.92
2019-04-01,4.7,0.00,0.00,42327.92
2019-04-02,8.1,0.00,0.00,42464.29
2019-04-03,12.0,0.20,0.00,35897.39
2019-04-04,13.6,0.00,0.00,42741.38
2019-04-05,12.2,0.00,0.00,40347.94
2019-04-06,13.7,0.00,0.00,43299.11
2019-04-07,12.3,0.00,0.00,43626.12
2019-04-08,10.6,0.20,0.00,43408.25
2019-04-09,6.7,0.00,0.00,39600.00
2019-04-10,5.3,0.00,0.00,25270.61
2019-04-11,3.6,0.00,0.00,25354.94
2019-04-12,3.2,0.00,0.00,7911.85
2019-04-13,4.2,0.40,0.07,4225.24
2019-04-14,5.2,2.30,0.35,10069.38
2019-04-15,7.0,0.00,0.00,45294.93
2019-04-16,8.4,0.00,0.00,45636.67
2019-04-17,10.5,0.00,0.00,45966.38
2019-04-18,13.3,0.00,0.00,46216.58
2019-04-19,13.9,0.00,0.00,46472.25
2019-04-20,12.2,0.00,0.00,46862.18
2019-04-21,13.6,0.00,0.00,47272.48
2019-04-22,13.5,0.00,0.00,47609.56
2019-04-23,14.4,0.40,0.00,34479.30
2019-04-24,16.8,0.00,0.00,47411.98
2019-04-25,18.6,0.20,0.00,46607.80
2019-04-26,19.0,4.50,0.00,44987.85
2019-04-27,12.8,2.20,0.00,24183.39
2019-04-28,10.6,0.90,0.00,2042.06
2019-04-29,10.7,3.30,0.00,17859.46
2019-04-30,10.8,0.00,0.00,48786.57
2019-05-01,12.2,4.80,0.00,40648.97
2019-05-02,10.6,0.50,0.00,4109.42
2019-05-03,8.3,0.30,0.00,25037.71
2019-05-04,6.1,2.10,0.00,20418.14
2019-05-05,7.0,0.00,0.00,31259.55
2019-05-06,7.5,0.20,0.00,22851.39
2019-05-07,8.4,0.70,0.00,41399.05
2019-05-08,11.6,0.40,0.00,32400.00
2019-05-09,12.8,2.50,0.00,27913.96
2019-05-10,12.2,5.70,0.00,50400.00
2019-05-11,10.6,2.70,0.00,17888.38
2019-05-12,10.8,0.20,0.00,44356.27
2019-05-13,9.8,0.10,0.00,50447.47
2019-05-14,8.7,0.20,0.00,47032.29
2019-05-15,8.9,0.10,0.00,34095.91
2019-05-16,10.1,12.70,0.00,78.34
2019-05-17,13.1,0.00,0.00,27749.11
2019-05-18,16.8,0.10,0.00,50519.62
2019-05-19,18.0,0.00,0.00,50787.16
2019-05-20,18.4,4.60,0.00,33982.77
2019-05-21,17.9,0.40,0.00,50190.22
2019-05-22,13.4,1.40,0.00,0.00
2019-05-23,13.9,0.00,0.00,51633.23
2019-05-24,16.8,0.00,0.00,49771.57
2019-05-25,14.4,0.00,0.00,35764.75
2019-05-26,16.2,0.00,0.00,28830.91
2019-05-27,17.1,0.10,0.00,14992.35
2019-05-28,15.3,0.10,0.00,21481.49
2019-05-29,12.6,0.00,0.00,47845.93
2019-05-30,16.1,0.00,0.00,38721.27
2019-05-31,19.0,1.40,0.00,39965.16
2019-06-01,21.5,0.00,0.00,52543.52
2019-06-02,24.0,0.00,0.00,51441.90
2019-06-03,27.1,0.00,0.00,52593.12
2019-06-04,24.9,0.00,0.00,53555.97
2019-06-05,27.3,0.00,0.00,53822.77
2019-06-06,22.8,14.50,0.00,36847.89
2019-06-07,19.8,2.10,0.00,46336.13
2019-06-08,18.8,0.50,0.00,44347.51
2019-06-09,20.2,0.00,0.00,47080.38
2019-06-10,22.4,5.00,0.00,40586.62
2019-06-11,23.0,2.70,0.00,39627.82
2019-06-12,23.9,7.10,0.00,40415.72
2019-06-13,20.1,0.40,0.00,44889.34
2019-06-14,24.0,0.70,0.00,49298.02
2019-06-15,25.2,8.10,0.00,37605.07
2019-06-16,19.4,0.00,0.00,50081.16
2019-06-17,21.3,0.10,0.00,46883.38
2019-06-18,24.3,0.00,0.00,55371.13
2019-06-19,24.8,0.50,0.00,46975.29
2019-06-20,22.7,1.60,0.00,53774.54
2019-06-21,20.8,0.60,0.00,54364.06
2019-06-22,20.4,0.00,0.00,55109.21
2019-06-23,22.0,0.00,0.00,53610.96
2019-06-24,23.8,0.00,0.00,55267.79
2019-06-25,27.7,0.00,0.00,55416.30
2019-06-26,29.4,0.00,0.00,54643.09
2019-06-27,20.2,0.00,0.00,53877.96
2019-06-28,19.6,0.00,0.00,46644.43
2019-06-29,23.2,0.00,0.00,55199.05
2019-06-30,28.6,0.00,0.00,55318.89
2019-07-01,22.7,1.90,0.00,49299.61
2019-07-02,18.2,0.00,0.00,39616.64
2019-07-03,15.9,0.10,0.00,42549.31
2019-07-04,17.5,0.00,0.00,33988.92
2019-07-05,17.8,1.20,0.00,14072.52
2019-07-06,18.2,4.00,0.00,13560.05
2019-07-07,15.0,0.00,0.00,38784.10
2019-07-08,14.5,0.10,0.00,28573.72
2019-07-09,15.4,0.20,0.00,40107.62
2019-07-10,17.0,1.40,0.00,52507.21
2019-07-11,19.1,0.00,0.00,39204.05
2019-07-12,17.3,8.70,0.00,9585.85
2019-07-13,19.7,2.20,0.00,51929.83
2019-07-14,18.4,0.20,0.00,48558.21
2019-07-15,16.7,0.10,0.00,13530.71
2019-07-16,17.4,0.50,0.00,23585.23
2019-07-17,18.2,0.00,0.00,51046.66
2019-07-18,20.6,0.00,0.00,51340.57
2019-07-19,21.5,0.20,0.00,48009.21
2019-07-20,23.7,0.40,0.00,43039.62
2019-07-21,21.7,0.00,0.00,52305.63
2019-07-22,20.7,0.30,0.00,25000.82
2019-07-23,23.9,0.00,0.00,52463.18
2019-07-24,26.1,0.00,0.00,52390.31
2019-07-25,26.9,0.00,0.00,52315.59
2019-07-26,25.7,0.00,0.00,51719.60
2019-07-27,24.0,0.00,0.00,51285.14
2019-07-28,25.7,0.00,0.00,50400.00
2019-07-29,27.5,2.20,0.00,48586.82
2019-07-30,24.3,0.80,0.00,50400.00
2019-07-31,20.7,9.70,0.00,30684.74
2019-08-01,19.4,1.40,0.00,49907.43
2019-08-02,18.7,5.10,0.00,45534.07
2019-08-03,19.5,1.40,0.00,50282.07
2019-08-04,19.7,0.30,0.00,50009.27
2019-08-05,19.9,0.90,0.00,41467.41
2019-08-06,21.6,1.20,0.00,42692.24
2019-08-07,20.5,0.90,0.00,25756.73
2019-08-08,20.4,0.10,0.00,49625.88
2019-08-09,21.6,1.80,0.00,42584.43
2019-08-10,23.1,2.00,0.00,45229.86
2019-08-11,22.9,0.10,0.00,45472.63
2019-08-12,20.6,0.20,0.00,19919.60
2019-08-13,18.0,0.50,0.00,49176.93
2019-08-14,16.4,0.00,0.00,49044.89
2019-08-15,17.8,0.10,0.00,21054.72
2019-08-16,18.5,0.10,0.00,47167.75
2019-08-17,20.7,0.00,0.00,18192.78
2019-08-18,20.9,3.40,0.00,22569.11
2019-08-19,19.3,0.00,0.00,33398.33
2019-08-20,19.3,1.00,0.00,29637.96
2019-08-21,18.6,0.00,0.00,46998.47
2019-08-22,19.7,0.00,0.00,46966.84
2019-08-23,21.6,0.00,0.00,46689.14
2019-08-24,22.9,0.00,0.00,46418.68
2019-08-25,25.0,0.00,0.00,45630.96
2019-08-26,25.3,0.00,0.00,42145.39
2019-08-27,25.3,0.10,0.00,39441.53
2019-08-28,25.8,0.00,0.00,43487.30
2019-08-29,24.1,0.00,0.00,44030.38
2019-08-30,23.7,0.90,0.00,43761.87
2019-08-31,26.5,0.00,0.00,44027.88
2019-09-01,24.1,0.00,0.00,43200.00
2019-09-02,17.4,0.00,0.00,36448.14
2019-09-03,16.2,0.00,0.00,17549.63
2019-09-04,19.6,0.00,0.00,39017.99
2019-09-05,17.8,0.50,0.00,39489.86
2019-09-06,15.0,0.00,0.00,38966.16
2019-09-07,15.0,0.30,0.00,18696.75
2019-09-08,15.8,0.00,0.00,40233.92
2019-09-09,13.9,18.60,0.00,0.00
2019-09-10,15.2,0.10,0.00,29931.17
2019-09-11,16.3,0.40,0.00,37115.87
2019-09-12,17.8,0.60,0.00,28163.50
2019-09-13,16.9,1.80,0.00,31525.58
2019-09-14,13.6,0.00,0.00,42041.33
2019-09-15,16.8,0.30,0.00,41803.73
2019-09-16,13.8,0.50,0.00,4801.20
2019-09-17,11.8,2.70,0.00,22292.43
2019-09-18,11.6,0.00,0.00,39740.49
2019-09-19,11.2,0.00,0.00,37887.58
2019-09-20,11.8,0.00,0.00,31854.76
2019-09-21,14.2,0.00,0.00,40354.95
2019-09-22,16.0,0.00,0.00,40108.92
2019-09-23,16.5,0.00,0.00,38197.23
2019-09-24,15.7,0.10,0.00,19722.83
2019-09-25,14.6,4.10,0.00,0.00
2019-09-26,15.0,0.00,0.00,37225.02
2019-09-27,15.1,10.10,0.00,0.00
2019-09-28,14.6,4.90,0.00,33073.96
2019-09-29,15.0,8.20,0.00,7474.35
2019-09-30,14.4,10.40,0.00,21643.96
2019-10-01,13.9,5.90,0.00,6849.24
2019-10-02,10.2,10.30,0.00,14786.44
2019-10-03,9.7,2.10,0.00,31322.90
2019-10-04,8.9,10.90,0.00,15636.83
2019-10-05,8.5,7.20,0.00,26862.85
2019-10-06,6.6,0.00,0.00,29533.60
2019-10-07,5.8,0.00,0.00,35930.48
2019-10-08,9.9,4.40,0.00,0.00
2019-10-09,12.0,2.60,0.00,23016.71
2019-10-10,11.3,1.40,0.00,33659.75
2019-10-11,13.1,1.00,0.00,11542.49
2019-10-12,16.2,0.00,0.00,27463.58
2019-10-13,18.8,0.00,0.00,34865.44
2019-10-14,18.2,0.00,0.00,34610.47
2019-10-15,15.2,0.00,0.00,34355.21
2019-10-16,11.7,8.40,0.00,0.00
2019-10-17,13.8,0.00,0.00,23498.76
2019-10-18,14.6,3.90,0.00,25752.29
2019-10-19,12.0,0.50,0.00,6102.53
2019-10-20,14.1,0.00,0.00,21449.59
2019-10-21,14.2,0.00,0.00,20753.66
2019-10-22,12.7,0.00,0.00,32158.12
2019-10-23,12.0,0.00,0.00,26833.49
2019-10-24,13.6,0.00,0.00,9531.98
2019-10-25,13.6,0.00,0.00,30910.90
2019-10-26,14.3,0.00,0.00,30474.68
2019-10-27,11.8,2.40,0.00,0.00
2019-10-28,8.2,0.20,0.00,30558.32
2019-10-29,5.6,0.60,0.00,30437.32
2019-10-30,3.2,0.00,0.00,29921.90
2019-10-31,0.7,0.00,0.00,29160.19
2019-11-01,2.5,1.50,0.00,24247.54
2019-11-02,10.9,1.50,0.00,23134.70
2019-11-03,10.7,3.10,0.00,8048.63
2019-11-04,9.7,7.10,0.00,10458.39
2019-11-05,8.4,1.90,0.00,12536.35
2019-11-06,7.7,4.70,0.00,1784.64
2019-11-07,8.0,0.20,0.00,4176.42
2019-11-08,7.0,4.50,0.00,13401.76
2019-11-09,6.7,2.50,0.00,0.00
2019-11-10,3.8,0.00,0.00,26853.38
2019-11-11,3.0,0.00,0.00,24704.17
2019-11-12,4.2,0.00,0.00,7295.38
2019-11-13,4.5,0.20,0.00,277.47
2019-11-14,4.3,0.00,0.00,27009.98
2019-11-15,7.2,0.00,0.00,16256.11
2019-11-16,6.1,1.40,0.00,5707.09
2019-11-17,5.1,1.30,0.00,5147.48
2019-11-18,8.5,1.40,0.00,8874.36
2019-11-19,6.3,1.90,0.00,24287.14
2019-11-20,5.3,6.10,0.00,0.00
2019-11-21,7.6,4.50,0.00,129.09
2019-11-22,8.6,0.70,0.00,9349.62
2019-11-23,8.1,0.00,0.00,14935.95
2019-11-24,5.1,0.00,0.00,23704.60
2019-11-25,4.2,0.00,0.00,3013.35
2019-11-26,6.0,0.20,0.00,129.03
2019-11-27,6.3,2.80,0.00,3643.23
2019-11-28,9.4,3.00,0.00,22569.94
2019-11-29,5.5,1.10,0.00,23155.04
2019-11-30,1.2,0.60,0.07,23283.22
2019-12-01,1.4,0.00,0.00,9401.68
2019-12-02,3.0,0.70,0.00,8292.16
2019-12-03,2.7,0.20,0.00,13075.96
2019-12-04,3.7,0.00,0.00,20044.58
2019-12-05,0.6,0.00,0.00,22875.63
2019-12-06,2.6,5.60,0.00,1307.03
2019-12-07,7.4,2.80,0.00,0.00
2019-12-08,8.2,0.60,0.00,0.00
2019-12-09,6.8,0.70,0.00,22058.86
2019-12-10,2.5,0.00,0.00,22216.42
2019-12-11,2.7,0.00,0.07,506.80
2019-12-12,2.7,1.30,0.00,0.00
2019-12-13,1.1,0.10,0.00,14567.90
2019-12-14,3.3,6.30,0.00,0.00
2019-12-15,5.4,2.70,0.00,8919.02
2019-12-16,6.0,0.90,0.00,2202.27
2019-12-17,8.0,0.00,0.00,19230.83
2019-12-18,7.9,0.40,0.00,18906.03
2019-12-19,5.5,0.00,0.00,19909.33
2019-12-20,6.2,0.10,0.00,21797.74
2019-12-21,6.4,3.00,0.00,21557.65
2019-12-22,3.3,0.10,0.00,2548.73
2019-12-23,6.0,0.80,0.00,10800.00
2019-12-24,5.7,3.20,0.00,17878.18
2019-12-25,5.1,0.60,0.00,252.67
2019-12-26,3.8,1.20,0.00,4436.30
2019-12-27,2.8,0.20,0.00,7040.66
2019-12-28,0.1,0.00,0.00,20937.14
2019-12-29,-0.7,0.00,0.00,21436.21
2019-12-30,3.9,0.00,0.00,15624.59
2019-12-31,5.1,0.60,0.00,19790.26
2020-01-01,0.8,0.00,0.00,22130.13
2020-01-02,-0.3,0.00,0.00,22598.53
2020-01-03,4.6,3.70,0.00,0.00
2020-01-04,3.7,4.00,0.00,0.00
2020-01-05,1.3,0.00,0.00,22702.19
2020-01-06,3.5,0.00,0.00,0.00
2020-01-07,2.5,0.00,0.00,3600.00
2020-01-08,6.1,1.80,0.00,0.00
2020-01-09,8.0,6.20,0.00,0.00
2020-01-10,8.8,3.00,0.00,12599.94
2020-01-11,4.6,0.00,0.00,15030.59
2020-01-12,3.6,0.20,0.00,23597.77
2020-01-13,5.4,0.40,0.00,12769.92
2020-01-14,7.8,0.10,0.00,7787.19
2020-01-15,10.2,0.00,0.00,23907.29
2020-01-16,6.2,0.00,0.00,24275.55
2020-01-17,4.3,0.00,0.00,24416.45
2020-01-18,5.0,0.50,0.00,15193.26
2020-01-19,3.5,0.30,0.00,14993.67
2020-01-20,2.1,0.00,0.00,14620.58
2020-01-21,2.0,0.00,0.00,25242.79
2020-01-22,3.1,0.20,0.00,0.00
2020-01-23,2.5,0.00,0.00,19854.08
2020-01-24,0.2,0.00,0.00,26045.37
2020-01-25,0.8,0.00,0.00,945.66
2020-01-26,0.3,0.10,0.00,3961.38
2020-01-27,4.8,0.60,0.00,24775.83
2020-01-28,5.3,7.30,0.35,10800.00
2020-01-29,3.7,2.60,0.56,20244.01
2020-01-30,5.1,6.30,0.07,0.00
2020-01-31,9.5,1.60,0.00,9418.07
2020-02-01,10.3,6.00,0.00,0.00
2020-02-02,7.2,5.20,0.00,0.00
2020-02-03,7.2,4.10,0.00,12515.67
2020-02-04,4.8,2.60,0.00,26729.24
2020-02-05,2.5,0.80,0.00,27856.82
2020-02-06,4.3,0.00,0.00,0.00
2020-02-07,5.5,0.00,0.00,6479.01
