latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,7200,Europe/Berlin,GMT+2

time,weather_code (wmo code),relative_humidity_2m_mean (%),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),sunshine_duration (s),rain_sum (mm),snowfall_sum (cm)
2015-07-15,3,71,18.3,17.6,58910.30,41495.63,0.00,0.00
2015-07-16,51,67,20.3,20.5,58773.57,46595.22,0.10,0.00
2015-07-17,3,67,23.1,24.1,58633.02,50924.75,0.00,0.00
2015-07-18,51,67,22.7,23.2,58488.84,52679.86,0.30,0.00
2015-07-19,63,80,18.7,18.9,58341.02,26400.53,11.30,0.00
2015-07-20,2,61,19.3,17.6,58188.27,52386.12,0.00,0.00
2015-07-21,53,66,22.1,22.2,58030.55,50890.18,2.30,0.00
2015-07-22,53,66,23.2,24.3,57868.10,40300.46,1.10,0.00
2015-07-23,63,67,20.4,20.0,57701.20,41190.47,15.90,0.00
2015-07-24,3,66,19.4,19.0,57530.13,46111.45,0.00,0.00
2015-07-25,61,61,21.8,20.2,57355.11,45899.64,3.50,0.00
2015-07-26,3,59,16.5,12.8,57176.43,44423.42,0.00,0.00
2015-07-27,61,69,16.6,15.3,56994.30,23162.52,4.10,0.00
2015-07-28,3,67,17.5,15.0,56808.97,50483.52,0.00,0.00
2015-07-29,51,58,16.9,13.7,56620.68,49068.84,0.40,0.00
2015-07-30,51,57,16.1,11.8,56429.66,37178.50,0.10,0.00
2015-07-31,3,61,15.2,12.4,56236.12,39243.63,0.00,0.00
2015-08-01,3,60,17.7,16.4,56040.28,44439.25,0.00,0.00
2015-08-02,3,52,21.3,20.6,55842.36,50479.37,0.00,0.00
2015-08-03,2,55,23.3,23.2,55642.53,50384.13,0.00,0.00
2015-08-04,3,48,26.3,25.8,55441.03,49157.72,0.00,0.00
2015-08-05,3,61,22.2,22.2,55238.02,43326.50,0.00,0.00
2015-08-06,3,59,25.2,26.0,55033.71,49803.70,0.00,0.00
2015-08-07,2,48,28.5,29.1,54828.27,49716.30,0.00,0.00
2015-08-08,51,57,26.5,27.1,54621.66,49628.86,0.40,0.00
2015-08-09,3,60,22.6,22.0,54412.30,49540.98,0.00,0.00
2015-08-10,2,57,24.6,24.7,54200.01,49440.47,0.00,0.00
2015-08-11,53,52,27.0,27.8,53985.02,49362.26,0.70,0.00
2015-08-12,3,66,23.6,23.8,53767.57,45637.67,0.00,0.00
2015-08-13,3,59,23.5,22.7,53547.86,48355.58,0.00,0.00
2015-08-14,2,45,27.3,25.8,53326.09,49052.30,0.00,0.00
2015-08-15,55,61,25.9,27.5,53102.50,43199.20,1.50,0.00
2015-08-16,61,78,23.5,25.9,52877.25,37417.86,4.80,0.00
2015-08-17,53,68,23.1,23.2,52650.57,35443.75,1.90,0.00
2015-08-18,53,85,19.3,20.2,52422.62,11376.44,6.00,0.00
2015-08-19,3,74,19.9,20.4,52193.58,46618.03,0.00,0.00
2015-08-20,2,56,19.4,18.1,51963.65,46915.79,0.00,0.00
2015-08-21,3,49,19.5,17.8,51732.98,45922.28,0.00,0.00
2015-08-22,3,47,20.1,18.0,51501.75,40178.54,0.00,0.00
2015-08-23,2,50,19.8,17.5,51270.11,45995.08,0.00,0.00
2015-08-24,55,63,21.5,20.6,51038.23,28572.82,3.30,0.00
2015-08-25,63,67,19.3,17.5,50806.25,35702.77,10.70,0.00
2015-08-26,51,59,20.4,19.1,50574.34,44186.04,0.20,0.00
2015-08-27,3,54,22.5,21.6,50342.63,39600.00,0.00,0.00
2015-08-28,61,76,18.2,17.9,50111.06,16027.24,7.20,0.00
2015-08-29,3,70,18.1,18.0,49878.03,44279.77,0.00,0.00
2015-08-30,3,64,22.4,22.9,49643.30,43885.12,0.00,0.00
2015-08-31,3,62,26.0,27.8,49407.04,42670.00,0.00,0.00
2015-09-01,55,69,23.0,23.6,49169.43,40533.25,2.90,0.00
2015-09-02,51,64,17.1,15.2,48930.62,42090.31,0.10,0.00
2015-09-03,61,75,16.0,15.5,48690.77,33719.06,7.00,0.00
2015-09-04,53,78,15.1,14.2,48450.04,39600.00,2.00,0.00
2015-09-05,61,70,14.3,11.0,48208.57,35104.42,2.80,0.00
2015-09-06,61,79,12.9,9.2,47966.52,16617.00,6.30,0.00
2015-09-07,3,68,13.7,10.9,47724.03,43200.00,0.00,0.00
2015-09-08,51,69,13.9,11.6,47481.23,40990.27,0.10,0.00
2015-09-09,51,75,13.3,11.4,47238.28,40136.19,1.30,0.00
2015-09-10,53,81,13.6,11.9,46995.31,40429.16,3.30,0.00
2015-09-11,55,81,14.6,13.1,46752.45,24382.98,3.50,0.00
2015-09-12,51,77,16.2,15.1,46509.84,42522.66,0.30,0.00
2015-09-13,51,70,18.7,17.5,46267.60,36297.97,1.00,0.00
2015-09-14,53,75,18.5,17.6,46025.88,22302.32,3.00,0.00
2015-09-15,51,64,16.7,14.4,45784.79,31435.41,0.40,0.00
2015-09-16,3,72,17.2,16.0,45544.48,23994.80,0.00,0.00
2015-09-17,61,75,18.9,18.0,45304.86,28207.50,6.80,0.00
2015-09-18,3,72,15.9,14.0,45064.32,37608.72,0.00,0.00
2015-09-19,61,81,14.9,14.1,44822.60,38256.41,2.40,0.00
2015-09-20,51,85,12.9,10.9,44579.85,29964.00,0.60,0.00
2015-09-21,3,76,13.1,11.1,44336.22,29895.05,0.00,0.00
2015-09-22,53,68,15.6,13.5,44091.84,24500.85,0.60,0.00
2015-09-23,51,81,13.6,12.4,43846.86,10915.85,1.30,0.00
2015-09-24,3,76,13.4,11.6,43601.41,33992.07,0.00,0.00
2015-09-25,3,74,14.1,12.8,43355.64,36880.63,0.00,0.00
2015-09-26,3,73,13.1,11.3,43109.68,35790.38,0.00,0.00
2015-09-27,3,75,11.8,9.9,42863.68,35483.25,0.00,0.00
2015-09-28,3,76,12.0,10.0,42617.75,37038.47,0.00,0.00
2015-09-29,2,77,11.8,9.5,42372.06,36319.49,0.00,0.00
2015-09-30,3,76,11.4,9.3,42126.75,33650.91,0.00,0.00
2015-10-01,3,67,10.7,8.5,41881.93,36427.58,0.00,0.00
2015-10-02,2,67,11.4,9.4,41637.77,36401.13,0.00,0.00
2015-10-03,3,72,11.6,9.5,41394.40,36383.54,0.00,0.00
2015-10-04,3,77,13.6,12.1,41151.96,33861.68,0.00,0.00
2015-10-05,3,80,13.2,12.1,40910.61,36046.73,0.00,0.00
2015-10-06,3,77,14.4,12.0,40670.50,8105.28,0.00,0.00
2015-10-07,55,79,13.8,11.2,40431.54,106.27,5.60,0.00
2015-10-08,55,88,8.7,6.5,40192.00,0.00,15.00,0.00
2015-10-09,53,72,8.6,5.6,39951.58,30464.44,4.90,0.00
2015-10-10,2,53,6.7,2.1,39710.45,35402.45,0.00,0.00
2015-10-11,0,56,5.3,0.3,39468.77,35260.57,0.00,0.00
2015-10-12,3,66,4.2,-0.2,39226.71,35118.54,0.00,0.00
2015-10-13,3,77,4.3,0.9,38984.42,39.74,0.00,0.00
2015-10-14,61,89,5.3,1.8,38742.07,0.00,11.20,0.00
2015-10-15,61,91,6.8,3.4,38499.84,0.00,7.20,0.00
2015-10-16,61,95,7.4,5.7,38257.89,0.00,14.60,0.00
2015-10-17,61,92,8.3,6.7,38016.41,0.00,7.20,0.00
2015-10-18,3,86,8.3,6.3,37775.56,338.34,0.00,0.00
2015-10-19,53,95,7.7,6.0,37535.53,0.00,3.90,0.00
2015-10-20,51,95,9.0,7.4,37296.51,1507.51,1.40,0.00
2015-10-21,51,88,8.9,6.6,37058.69,16643.11,0.30,0.00
2015-10-22,51,85,8.8,6.1,36822.26,7944.18,0.40,0.00
2015-10-23,51,81,11.3,8.4,36587.42,20845.99,0.10,0.00
2015-10-24,3,85,9.9,8.0,36354.38,30435.22,0.00,0.00
2015-10-25,3,87,9.7,7.6,36123.36,10428.65,0.00,0.00
2015-10-26,3,92,6.8,4.5,35894.56,25464.88,0.00,0.00
2015-10-27,2,87,8.2,5.3,35667.95,30675.67,0.00,0.00
2015-10-28,3,85,8.2,5.3,35441.58,29968.49,0.00,0.00
2015-10-29,3,90,7.7,5.9,35215.13,22166.96,0.00,0.00
2015-10-30,3,91,8.7,7.3,34988.81,0.00,0.00,0.00
2015-10-31,3,85,10.0,7.5,34762.83,29748.35,0.00,0.00
2015-11-01,3,79,9.1,6.5,34537.40,29373.00,0.00,0.00
2015-11-02,1,92,6.3,4.3,34312.73,29154.66,0.00,0.00
2015-11-03,2,89,4.0,1.4,34089.05,28913.92,0.00,0.00
2015-11-04,3,97,2.5,0.2,33866.58,5969.87,0.00,0.00
2015-11-05,51,95,7.0,5.3,33645.57,24066.19,2.30,0.00
2015-11-06,51,92,10.1,8.4,33426.24,20628.50,0.60,0.00
2015-11-07,61,95,14.2,13.4,33208.86,0.00,5.60,0.00
2015-11-08,51,83,12.9,10.3,32993.68,26648.01,0.20,0.00
2015-11-09,53,81,12.8,9.8,32780.95,13008.42,2.60,0.00
2015-11-10,51,78,13.7,10.1,32570.96,0.00,0.60,0.00
2015-11-11,51,91,13.2,11.1,32363.98,0.00,0.70,0.00
2015-11-12,3,80,11.7,8.9,32160.29,12823.03,0.00,0.00
2015-11-13,53,84,10.7,8.0,31960.19,13136.47,0.60,0.00
2015-11-14,61,71,7.7,2.6,31763.98,25447.59,2.20,0.00
2015-11-15,61,92,9.6,6.3,31571.96,0.00,18.80,0.00
2015-11-16,55,88,10.7,8.4,31384.21,7581.28,6.80,0.00
2015-11-17,55,88,11.4,8.7,31198.78,0.00,6.30,0.00
2015-11-18,61,78,11.4,6.7,31015.38,6436.12,8.10,0.00
2015-11-19,51,68,11.3,6.2,30834.26,23436.51,0.80,0.00
2015-11-20,51,82,7.7,3.8,30655.65,22764.02,1.80,0.00
2015-11-21,51,87,4.3,1.0,30479.79,18708.29,2.00,0.00
2015-11-22,51,85,1.5,-2.6,30306.92,24524.98,0.50,0.00
2015-11-23,73,92,-0.5,-4.1,30137.31,3966.43,0.70,0.91
2015-11-24,3,83,0.0,-4.6,29971.20,24430.87,0.00,0.00
2015-11-25,71,82,2.6,-1.5,29808.88,0.00,0.00,0.07
2015-11-26,3,92,3.9,1.2,29650.59,893.31,0.00,0.00
2015-11-27,3,96,1.5,-1.9,29496.62,154.98,0.00,0.00
2015-11-28,73,89,1.2,-3.3,29347.26,3897.64,1.20,1.33
2015-11-29,71,87,4.9,-0.2,29202.78,0.00,4.50,0.14
2015-11-30,61,79,5.9,0.6,29063.48,18935.04,12.00,0.00
2015-12-01,61,87,5.7,1.6,28929.64,17571.23,4.60,0.00
2015-12-02,53,87,8.6,5.4,28801.57,11771.48,1.40,0.00
2015-12-03,3,81,7.3,4.2,28679.56,21480.42,0.00,0.00
2015-12-04,53,83,6.6,2.4,28563.91,0.00,1.10,0.00
2015-12-05,3,75,6.1,1.2,28454.93,15956.13,0.00,0.00
2015-12-06,3,68,8.0,2.9,28352.74,22192.55,0.00,0.00
2015-12-07,3,86,10.3,8.3,28256.15,0.00,0.00,0.00
2015-12-08,3,94,7.8,5.6,28164.98,21330.53,0.00,0.00
2015-12-09,51,90,6.8,3.7,28079.34,0.00,0.60,0.00
2015-12-10,3,87,3.4,-0.6,27999.36,21843.01,0.00,0.00
2015-12-11,51,80,4.1,-0.7,27925.16,0.00,0.80,0.00
2015-12-12,53,84,5.2,0.7,27856.86,16076.23,1.30,0.00
2015-12-13,61,85,5.6,0.8,27794.58,5146.75,9.90,0.00
2015-12-14,3,96,0.7,-2.6,27738.44,263.09,0.00,0.00
2015-12-15,3,95,4.1,1.5,27688.53,716.46,0.00,0.00
2015-12-16,3,95,5.2,2.1,27644.97,8122.00,0.00,0.00
2015-12-17,51,94,10.1,7.8,27607.87,0.00,1.30,0.00
2015-12-18,61,92,10.2,7.8,27577.31,262.46,5.90,0.00
2015-12-19,3,90,9.1,6.6,27553.39,12915.41,0.00,0.00
2015-12-20,3,88,8.6,5.6,27536.21,14841.86,0.00,0.00
2015-12-21,53,84,9.3,6.0,27525.85,3727.07,3.20,0.00
2015-12-22,53,78,11.0,6.8,27522.38,0.00,1.20,0.00
2015-12-23,3,69,11.3,7.0,27525.88,13223.89,0.00,0.00
2015-12-24,51,90,6.6,3.5,27536.41,21269.04,0.80,0.00
2015-12-25,51,79,8.7,5.2,27554.04,21529.75,0.10,0.00
2015-12-26,53,76,12.2,8.2,27578.85,7771.86,0.80,0.00
2015-12-27,3,78,10.0,6.5,27611.09,5925.91,0.00,0.00
2015-12-28,3,85,7.8,5.3,27650.68,21434.40,0.00,0.00
2015-12-29,3,81,4.7,0.3,27697.45,17096.74,0.00,0.00
2015-12-30,3,71,1.1,-4.2,27751.24,21944.87,0.00,0.00
2015-12-31,51,61,0.3,-5.0,27811.88,21704.23,1.00,0.00
2016-01-01,51,96,1.8,-0.9,27879.18,11159.08,0.50,0.00
2016-01-02,3,78,-2.4,-7.8,27952.98,6371.94,0.00,0.00
2016-01-03,3,59,-8.0,-14.6,28033.09,22323.57,0.00,0.00
2016-01-04,3,61,-6.8,-12.9,28119.33,10516.29,0.00,0.00
2016-01-05,73,66,-6.6,-12.3,28211.51,101.12,0.00,1.54
2016-01-06,71,75,-6.9,-12.1,28309.44,161.42,0.00,1.47
2016-01-07,3,83,-5.4,-10.3,28412.93,250.97,0.00,0.00
2016-01-08,73,83,2.1,-3.5,28521.81,21600.00,0.80,1.96
2016-01-09,2,90,0.1,-3.7,28635.88,23303.62,0.00,0.00
2016-01-10,55,93,0.3,-3.7,28754.94,0.00,2.50,0.00
2016-01-11,71,97,1.7,-1.3,28878.82,0.00,3.20,0.14
2016-01-12,73,97,1.8,-1.1,29007.33,0.00,6.10,0.91
2016-01-13,71,95,1.1,-2.9,29140.29,4234.65,3.50,0.42
2016-01-14,71,91,0.7,-3.0,29277.50,16799.98,0.10,0.21
2016-01-15,71,91,-0.4,-4.1,29419.00,6263.43,0.00,0.91
2016-01-16,71,88,-0.5,-4.1,29566.33,3703.48,0.00,0.28
2016-01-17,73,91,-2.6,-6.1,29719.57,14532.14,0.00,2.66
2016-01-18,3,85,-4.9,-9.1,29878.40,24164.13,0.00,0.00
2016-01-19,71,85,-7.2,-12.1,30042.48,24630.18,0.00,0.07
2016-01-20,73,85,-3.1,-7.5,30211.50,14809.26,0.00,0.56
2016-01-21,3,84,-3.5,-7.8,30385.13,16291.78,0.00,0.00
2016-01-22,1,84,-7.0,-11.6,30563.08,25222.37,0.00,0.00
2016-01-23,73,88,-2.4,-6.8,30745.04,0.00,0.00,2.66
2016-01-24,3,97,2.6,-0.8,30930.72,4008.16,0.00,0.00
2016-01-25,53,98,6.8,3.9,31119.82,0.00,3.30,0.00
2016-01-26,3,92,6.9,3.6,31312.07,7665.52,0.00,0.00
2016-01-27,53,81,8.4,4.3,31507.19,0.00,1.90,0.00
2016-01-28,53,77,7.2,2.7,31704.92,21600.00,1.70,0.00
2016-01-29,3,76,4.2,-0.6,31904.99,5324.38,0.00,0.00
2016-01-30,55,79,7.4,2.2,32107.15,0.00,5.40,0.00
2016-01-31,51,74,3.6,-1.7,32311.15,26479.66,0.30,0.00
2016-02-01,53,91,6.3,2.6,32516.77,0.00,1.90,0.00
2016-02-02,51,75,9.1,3.7,32723.75,9084.26,1.10,0.00
2016-02-03,3,66,5.1,-0.7,32931.88,27470.02,0.00,0.00
2016-02-04,71,89,2.3,-2.5,33141.20,0.00,3.10,0.07
2016-02-05,51,91,2.7,-1.3,33353.75,7553.35,0.90,0.00
2016-02-06,3,86,7.3,4.1,33569.77,27925.99,0.00,0.00
2016-02-07,51,77,7.1,3.4,33788.96,28249.00,0.70,0.00
2016-02-08,61,79,7.0,2.1,34011.05,10221.87,5.50,0.00
2016-02-09,61,71,7.2,1.9,34235.77,16032.84,6.30,0.00
2016-02-10,3,72,5.2,0.2,34462.87,27257.73,0.00,0.00
2016-02-11,71,82,4.1,-0.6,34692.08,26112.31,3.00,0.21
2016-02-12,3,83,2.4,-1.3,34923.16,26809.83,0.00,0.00
2016-02-13,3,85,0.9,-2.8,35155.86,29225.54,0.00,0.00
2016-02-14,51,91,2.8,-1.0,35389.96,0.00,1.40,0.00
2016-02-15,51,94,2.8,-0.5,35625.23,0.00,0.40,0.00
2016-02-16,3,78,0.9,-2.9,35861.44,20851.51,0.00,0.00
2016-02-17,73,82,0.0,-4.7,36098.38,15540.37,0.10,1.19
2016-02-18,71,83,1.8,-1.8,36335.84,15905.99,0.00,0.07
2016-02-19,3,81,1.7,-1.5,36573.61,24191.88,0.00,0.00
2016-02-20,53,88,2.8,-1.7,36811.49,1609.74,3.60,0.00
2016-02-21,55,89,7.7,3.6,37049.29,12533.09,9.70,0.00
2016-02-22,61,90,7.2,2.8,37286.81,0.00,16.40,0.00
2016-02-23,51,80,4.5,0.2,37523.87,27662.97,0.20,0.00
2016-02-24,3,80,2.7,-2.0,37760.52,32074.73,0.00,0.00
2016-02-25,73,83,0.3,-3.6,37998.75,32624.44,0.40,0.42
2016-02-26,3,86,1.1,-2.9,38238.85,19235.05,0.00,0.00
2016-02-27,3,84,0.0,-3.9,38480.61,32611.47,0.00,0.00
2016-02-28,3,78,2.0,-1.8,38723.85,25852.65,0.00,0.00
2016-02-29,71,75,1.0,-4.1,38968.38,25694.37,0.00,0.14
2016-03-01,3,76,1.0,-3.1,39214.02,16960.96,0.00,0.00
2016-03-02,71,83,3.9,-0.1,39460.59,10280.15,1.10,0.14
2016-03-03,3,84,2.6,-0.5,39707.91,21063.26,0.00,0.00
2016-03-04,3,77,2.4,-1.4,39955.81,34858.79,0.00,0.00
2016-03-05,3,77,4.7,0.7,40204.12,15925.56,0.00,0.00
2016-03-06,71,94,2.6,-0.7,40452.68,716.33,8.60,0.07
2016-03-07,3,80,1.9,-1.3,40701.32,35843.81,0.00,0.00
2016-03-08,51,78,2.2,-1.0,40949.87,36362.30,0.10,0.00
2016-03-09,3,77,2.2,-1.5,41198.18,36047.99,0.00,0.00
2016-03-10,3,84,4.0,0.4,41446.08,12096.90,0.00,0.00
2016-03-11,3,83,3.5,-0.0,41693.41,828.91,0.00,0.00
2016-03-12,71,80,2.7,-1.2,41940.03,0.00,0.00,0.07
2016-03-13,3,82,1.5,-2.4,42185.76,6087.09,0.00,0.00
2016-03-14,3,80,2.4,-0.8,42430.44,33493.89,0.00,0.00
2016-03-15,53,82,4.4,0.5,42674.15,11523.51,1.70,0.00
2016-03-16,1,74,3.3,-0.8,42918.66,38455.33,0.00,0.00
2016-03-17,0,75,3.4,0.3,43164.27,38627.63,0.00,0.00
2016-03-18,3,86,3.3,-0.2,43410.83,1033.30,0.00,0.00
2016-03-19,3,80,5.4,2.4,43658.20,29702.12,0.00,0.00
2016-03-20,51,82,5.3,1.2,43906.24,2644.21,1.70,0.00
2016-03-21,51,85,5.4,1.2,44154.80,27137.09,2.30,0.00
2016-03-22,51,86,5.8,2.3,44403.75,29027.13,1.40,0.00
2016-03-23,51,86,4.4,1.2,44652.94,20389.84,0.50,0.00
2016-03-24,51,82,4.0,1.0,44902.23,31117.61,0.20,0.00
2016-03-25,51,84,6.0,3.0,45151.48,820.91,3.20,0.00
2016-03-26,3,81,8.0,5.3,45400.54,39616.46,0.00,0.00
2016-03-27,51,76,8.3,4.7,45649.27,34528.41,0.20,0.00
2016-03-28,53,75,8.7,5.5,45897.52,31070.20,1.70,0.00
2016-03-29,61,84,7.5,3.8,46145.15,30056.27,7.10,0.00
2016-03-30,53,79,7.3,3.8,46392.00,19647.50,1.80,0.00
2016-03-31,51,75,7.0,4.4,46637.93,20055.83,0.10,0.00
2016-04-01,51,68,7.0,4.1,46882.78,36000.00,0.70,0.00
2016-04-02,3,63,7.6,3.7,47126.39,42473.96,0.00,0.00
2016-04-03,3,69,10.9,8.4,47368.59,42748.89,0.00,0.00
2016-04-04,3,77,12.9,11.8,47609.45,35647.85,0.00,0.00
2016-04-05,51,77,14.3,13.3,47850.64,42137.27,0.10,0.00
2016-04-06,51,70,11.9,8.7,48092.45,42539.66,0.60,0.00
2016-04-07,3,62,10.3,6.6,48334.73,34459.15,0.00,0.00
2016-04-08,3,67,7.9,4.9,48577.36,43112.18,0.00,0.00
2016-04-09,3,67,8.8,6.0,48820.16,31622.36,0.00,0.00
2016-04-10,51,77,7.7,5.1,49063.02,20693.59,1.40,0.00
2016-04-11,3,73,9.0,6.2,49305.77,24954.80,0.00,0.00
2016-04-12,53,82,10.5,9.0,49548.27,19237.99,2.70,0.00
2016-04-13,51,86,11.4,10.3,49790.36,33584.24,1.20,0.00
2016-04-14,61,82,9.3,7.0,50031.88,19516.21,8.20,0.00
2016-04-15,61,84,8.6,5.9,50272.67,13605.63,4.60,0.00
2016-04-16,55,84,10.5,7.9,50512.56,25050.92,2.50,0.00
2016-04-17,53,70,9.2,5.9,50751.38,29178.88,3.10,0.00
2016-04-18,3,64,7.3,3.5,50988.95,39022.46,0.00,0.00
2016-04-19,51,59,9.3,4.4,51225.09,45826.80,0.10,0.00
2016-04-20,3,65,8.1,4.0,51459.63,36943.70,0.00,0.00
2016-04-21,0,71,7.7,4.9,51692.36,47550.08,0.00,0.00
2016-04-22,3,68,8.0,4.7,51923.07,47483.71,0.00,0.00
2016-04-23,3,63,7.1,3.4,52151.59,40127.96,0.00,0.00
2016-04-24,55,76,4.7,0.9,52377.91,44838.96,2.00,0.00
2016-04-25,71,78,4.5,0.7,52603.69,41970.90,0.50,0.07
2016-04-26,71,72,5.5,1.5,52829.20,32687.46,5.70,0.07
2016-04-27,71,75,5.3,0.6,53054.25,40468.76,2.60,0.21
2016-04-28,61,79,6.0,2.0,53278.71,40092.68,3.40,0.00
2016-04-29,3,65,7.9,4.0,53502.38,43701.97,0.00,0.00
2016-04-30,3,56,11.8,8.6,53725.09,43968.87,0.00,0.00
2016-05-01,3,60,11.9,8.9,53946.64,47849.69,0.00,0.00
2016-05-02,1,68,11.9,9.7,54166.86,49858.40,0.00,0.00
2016-05-03,3,68,12.6,10.6,54385.55,45359.26,0.00,0.00
2016-05-04,51,68,10.2,6.7,54602.50,21403.31,0.60,0.00
2016-05-05,3,67,12.0,10.3,54817.50,42833.90,0.00,0.00
2016-05-06,0,64,15.1,13.2,55030.35,50320.23,0.00,0.00
2016-05-07,0,54,16.7,14.1,55240.80,50400.00,0.00,0.00
2016-05-08,2,56,16.9,14.4,55448.65,50400.00,0.00,0.00
2016-05-09,1,60,17.5,15.5,55653.65,50400.00,0.00,0.00
2016-05-10,0,60,17.7,15.6,55855.57,50400.00,0.00,0.00
2016-05-11,3,57,18.0,15.9,56054.14,50400.00,0.00,0.00
2016-05-12,55,62,18.1,15.8,56249.12,50400.00,1.40,0.00
2016-05-13,51,61,16.3,13.8,56440.25,50616.04,0.20,0.00
2016-05-14,3,58,11.5,7.4,56627.45,50436.65,0.00,0.00
2016-05-15,51,69,9.5,5.4,56812.20,43316.80,2.50,0.00
2016-05-16,3,62,10.0,5.6,56994.71,42279.59,0.00,0.00
2016-05-17,51,64,10.1,6.3,57174.80,36394.65,0.90,0.00
2016-05-18,3,67,13.3,11.4,57352.27,25668.23,0.00,0.00
2016-05-19,3,58,15.6,13.6,57526.93,34268.45,0.00,0.00
2016-05-20,3,63,16.2,14.1,57698.58,45508.86,0.00,0.00
2016-05-21,51,66,17.7,16.9,57867.03,38860.88,0.80,0.00
2016-05-22,3,54,20.7,19.0,58032.04,50400.00,0.00,0.00
2016-05-23,53,64,20.5,20.3,58193.43,48999.17,1.40,0.00
2016-05-24,53,77,18.3,17.8,58350.96,50233.61,2.50,0.00
2016-05-25,3,78,15.6,14.3,58504.41,7962.10,0.00,0.00
2016-05-26,51,84,14.9,14.3,58653.57,0.00,2.10,0.00
2016-05-27,3,78,16.1,16.0,58798.20,31535.37,0.00,0.00
2016-05-28,51,72,18.1,17.9,58938.07,51541.20,0.10,0.00
2016-05-29,61,76,20.4,20.5,59072.92,46780.76,4.00,0.00
2016-05-30,63,74,21.7,22.0,59202.54,47997.55,6.90,0.00
2016-05-31,63,85,20.0,21.6,59326.68,43421.89,5.70,0.00
2016-06-01,63,89,19.1,20.5,59445.10,23491.59,15.90,0.00
2016-06-02,55,79,19.9,20.7,59557.55,42687.13,2.50,0.00
2016-06-03,3,66,21.0,20.6,59663.92,52155.32,0.00,0.00
2016-06-04,3,65,20.7,20.8,59765.05,51948.25,0.00,0.00
2016-06-05,53,74,21.0,22.3,59861.07,54384.54,1.30,0.00
2016-06-06,0,53,19.6,17.9,59951.88,54445.15,0.00,0.00
2016-06-07,1,56,18.9,18.3,60037.35,54653.73,0.00,0.00
2016-06-08,3,59,19.8,18.6,60117.38,54455.75,0.00,0.00
2016-06-09,51,66,17.9,17.2,60191.88,40081.20,0.80,0.00
2016-06-10,3,57,16.8,14.1,60260.73,46600.40,0.00,0.00
2016-06-11,2,53,16.8,14.9,60323.83,49067.64,0.00,0.00
2016-06-12,3,53,16.9,14.5,60381.11,24779.71,0.00,0.00
2016-06-13,53,73,16.3,15.5,60432.45,29302.12,4.40,0.00
2016-06-14,53,83,16.7,17.1,60477.78,33246.59,3.50,0.00
2016-06-15,61,89,15.9,16.6,60517.00,7439.09,11.20,0.00
2016-06-16,55,72,17.1,16.5,60550.04,35074.85,1.70,0.00
2016-06-17,63,87,15.8,14.9,60576.81,12120.13,25.90,0.00
2016-06-18,61,80,16.8,16.2,60597.24,51550.46,3.20,0.00
2016-06-19,51,79,16.7,16.4,60611.28,53341.57,0.10,0.00
2016-06-20,3,65,17.3,16.2,60618.86,51483.13,0.00,0.00
2016-06-21,51,71,18.7,17.9,60619.91,33491.79,1.60,0.00
2016-06-22,3,71,20.6,21.3,60614.39,52498.96,0.00,0.00
2016-06-23,0,66,24.0,25.1,60602.25,54956.13,0.00,0.00
2016-06-24,0,60,26.6,28.6,60583.29,55107.46,0.00,0.00
2016-06-25,63,72,25.0,27.7,60557.57,47021.72,4.90,0.00
2016-06-26,51,62,20.0,18.8,60525.20,48503.16,0.20,0.00
2016-06-27,3,61,18.7,17.6,60486.32,51267.65,0.00,0.00
2016-06-28,51,66,18.2,17.4,60441.03,42172.71,0.60,0.00
2016-06-29,61,69,19.0,18.1,60389.46,40556.98,5.40,0.00
2016-06-30,51,64,20.1,19.6,60331.74,49839.45,0.20,0.00
2016-07-01,3,65,21.7,21.8,60268.01,52735.44,0.00,0.00
2016-07-02,63,73,19.1,18.4,60198.41,35757.96,5.50,0.00
2016-07-03,55,64,16.4,14.6,60123.06,54613.40,1.40,0.00
2016-07-04,3,64,17.1,15.8,60042.12,43304.90,0.00,0.00
2016-07-05,63,64,19.0,17.8,59955.74,40894.43,4.50,0.00
2016-07-06,51,57,16.6,12.1,59864.04,53156.46,0.20,0.00
2016-07-07,3,58,16.4,13.7,59767.20,37954.09,0.00,0.00
2016-07-08,51,60,19.3,18.0,59665.34,27065.57,1.20,0.00
2016-07-09,51,65,18.5,16.3,59558.61,32862.76,0.50,0.00
2016-07-10,51,55,23.5,23.1,59447.19,48847.27,0.20,0.00
2016-07-11,51,56,24.7,24.7,59331.19,43733.29,0.20,0.00
2016-07-12,3,51,21.6,20.4,59210.78,26371.68,0.00,0.00
2016-07-13,63,71,18.8,18.7,59085.96,33851.23,6.00,0.00
2016-07-14,53,71,16.5,14.5,58955.60,0.00,3.90,0.00
2016-07-15,51,69,16.3,13.4,58819.67,7992.10,0.90,0.00
2016-07-16,3,63,18.1,17.2,58678.44,47665.89,0.00,0.00
2016-07-17,53,76,19.7,20.3,58532.18,31956.54,1.60,0.00
2016-07-18,3,68,18.6,17.8,58381.11,22956.10,0.00,0.00
2016-07-19,3,70,19.3,19.0,58225.53,38870.58,0.00,0.00
2016-07-20,3,64,21.8,22.3,58065.66,48291.55,0.00,0.00
