,month_year,temperature_berlin,temperature_brooklyn,year,month,temperature_berlin_ref,temperature_brooklyn_ref,climate_change_brooklyn,climate_change_berlin
0,2015-01,2.703225806451613,-2.664516129032258,2015,1,-1.0021505376344086,-2.1843010752688174,-0.48021505376344065,3.7053763440860212
1,2015-02,1.1285714285714286,-7.185714285714285,2015,2,0.1053128689492326,-1.0282172373081464,-6.157497048406139,1.023258559622196
2,2015-03,5.548387096774194,0.7612903225806452,2015,3,3.471397849462366,3.786451612903226,-3.025161290322581,2.076989247311828
3,2015-04,8.603333333333333,9.963333333333331,2015,4,7.770111111111111,9.29211111111111,0.6712222222222213,0.8332222222222221
4,2015-05,13.26774193548387,18.05161290322581,2015,5,13.018387096774196,15.17731182795699,2.8743010752688196,0.24935483870967445
5,2015-06,16.703333333333333,20.466666666666665,2015,6,16.511777777777777,20.587111111111113,-0.12044444444444835,0.19155555555555637
6,2015-07,20.02258064516129,24.200000000000003,2015,7,18.017311827956988,23.61881720430107,0.5811827956989326,2.0052688172043034
7,2015-08,22.461290322580645,24.44193548387097,2015,8,17.840215053763444,22.944301075268815,1.4976344086021562,4.621075268817201
8,2015-09,14.863333333333332,21.53666666666667,2015,9,14.38188888888889,19.17255555555555,2.364111111111118,0.4814444444444419
9,2015-10,8.899999999999999,12.825806451612904,2015,10,9.983118279569892,12.965591397849462,-0.13978494623655813,-1.0831182795698933
10,2015-11,7.383333333333334,10.14,2015,11,4.608444444444445,7.424777777777778,2.7152222222222226,2.7748888888888885
11,2015-12,6.929032258064517,8.725806451612904,2015,12,0.930752688172043,1.325268817204301,7.400537634408603,5.998279569892474
12,2016-01,-0.3870967741935483,-0.4999999999999999,2016,1,-1.0021505376344086,-2.1843010752688174,1.6843010752688174,0.6150537634408604
13,2016-02,3.610344827586207,1.420689655172414,2016,2,0.1053128689492326,-1.0282172373081464,2.4489068924805606,3.5050319586369745
14,2016-03,4.300000000000001,7.403225806451613,2016,3,3.471397849462366,3.786451612903226,3.616774193548387,0.8286021505376349
15,2016-04,8.656666666666666,9.846666666666666,2016,4,7.770111111111111,9.29211111111111,0.5545555555555559,0.8865555555555549
16,2016-05,15.603225806451611,15.180645161290323,2016,5,13.018387096774196,15.17731182795699,0.0033333333333338544,2.584838709677415
17,2016-06,19.01,21.456666666666667,2016,6,16.511777777777777,20.587111111111113,0.8695555555555536,2.498222222222225
18,2016-07,20.248387096774195,25.296774193548387,2016,7,18.017311827956988,23.61881720430107,1.677956989247317,2.2310752688172073
19,2016-08,19.241935483870968,25.270967741935483,2016,8,17.840215053763444,22.944301075268815,2.326666666666668,1.401720430107524
20,2016-09,18.913333333333338,21.256666666666668,2016,9,14.38188888888889,19.17255555555555,2.084111111111117,4.531444444444448
21,2016-10,9.148387096774194,14.109677419354838,2016,10,9.983118279569892,12.965591397849462,1.1440860215053767,-0.8347311827956982
22,2016-11,3.8466666666666662,8.323333333333332,2016,11,4.608444444444445,7.424777777777778,0.8985555555555544,-0.761777777777779
23,2016-12,2.564516129032258,2.206451612903226,2016,12,0.930752688172043,1.325268817204301,0.8811827956989249,1.633763440860215
24,2017-01,-1.5387096774193547,2.229032258064516,2017,1,-1.0021505376344086,-2.1843010752688174,4.413333333333334,-0.5365591397849461
25,2017-02,1.6892857142857145,3.5785714285714287,2017,2,0.1053128689492326,-1.0282172373081464,4.606788665879575,1.5839728453364819
26,2017-03,6.709677419354839,2.938709677419354,2017,3,3.471397849462366,3.786451612903226,-0.8477419354838718,3.238279569892473
27,2017-04,7.763333333333334,11.833333333333334,2017,4,7.770111111111111,9.29211111111111,2.541222222222224,-0.0067777777777777715
28,2017-05,14.4,14.893548387096772,2017,5,13.018387096774196,15.17731182795699,-0.2837634408602181,1.381612903225804
29,2017-06,18.09,20.87,2017,6,16.511777777777777,20.587111111111113,0.28288888888888764,1.578222222222223
30,2017-07,18.25483870967742,23.55161290322581,2017,7,18.017311827956988,23.61881720430107,-0.06720430107526099,0.2375268817204308
31,2017-08,18.787096774193547,22.283870967741933,2017,8,17.840215053763444,22.944301075268815,-0.6604301075268815,0.9468817204301025
32,2017-09,14.056666666666668,20.33,2017,9,14.38188888888889,19.17255555555555,1.1574444444444474,-0.3252222222222212
33,2017-10,11.803225806451612,16.82903225806452,2017,10,9.983118279569892,12.965591397849462,3.863440860215057,1.8201075268817206
34,2017-11,5.85,7.723333333333333,2017,11,4.608444444444445,7.424777777777778,0.2985555555555548,1.2415555555555544
35,2017-12,3.2193548387096773,1.2838709677419355,2017,12,0.930752688172043,1.325268817204301,-0.041397849462365466,2.2886021505376344
36,2018-01,3.061290322580646,-1.335483870967742,2018,1,-1.0021505376344086,-2.1843010752688174,0.8488172043010755,4.063440860215055
37,2018-02,-1.525,4.3,2018,2,0.1053128689492326,-1.0282172373081464,5.328217237308146,-1.6303128689492326
38,2018-03,1.332258064516129,3.0483870967741935,2018,3,3.471397849462366,3.786451612903226,-0.7380645161290325,-2.139139784946237
39,2018-04,12.686666666666667,7.923333333333333,2018,4,7.770111111111111,9.29211111111111,-1.368777777777777,4.916555555555556
40,2018-05,17.641935483870967,17.103225806451615,2018,5,13.018387096774196,15.17731182795699,1.9259139784946253,4.62354838709677
41,2018-06,19.24,20.31,2018,6,16.511777777777777,20.587111111111113,-0.27711111111111464,2.7282222222222217
42,2018-07,21.212903225806453,23.906451612903226,2018,7,18.017311827956988,23.61881720430107,0.2876344086021554,3.1955913978494657
43,2018-08,21.96451612903226,24.616129032258065,2018,8,17.840215053763444,22.944301075268815,1.671827956989251,4.124301075268814
44,2018-09,16.746666666666666,20.946666666666665,2018,9,14.38188888888889,19.17255555555555,1.7741111111111145,2.3647777777777765
45,2018-10,11.380645161290325,14.029032258064516,2018,10,9.983118279569892,12.965591397849462,1.0634408602150547,1.3975268817204327
46,2018-11,5.483333333333333,6.489999999999999,2018,11,4.608444444444445,7.424777777777778,-0.9347777777777786,0.8748888888888882
47,2018-12,4.141935483870968,3.583870967741935,2018,12,0.930752688172043,1.325268817204301,2.258602150537634,3.2111827956989254
48,2019-01,1.1419354838709677,-0.0096774193548386,2019,1,-1.0021505376344086,-2.1843010752688174,2.1746236559139787,2.1440860215053763
49,2019-02,4.014285714285714,1.1642857142857144,2019,2,0.1053128689492326,-1.0282172373081464,2.1925029515938608,3.9089728453364816
50,2019-03,6.883870967741935,3.5999999999999996,2019,3,3.471397849462366,3.786451612903226,-0.18645161290322632,3.4124731182795696
51,2019-04,10.643333333333334,10.983333333333333,2019,4,7.770111111111111,9.29211111111111,1.6912222222222226,2.873222222222223
52,2019-05,12.66451612903226,15.39032258064516,2019,5,13.018387096774196,15.17731182795699,0.21301075268817016,-0.35387096774193694
53,2019-06,23.03,20.726666666666667,2019,6,16.511777777777777,20.587111111111113,0.1395555555555532,6.518222222222224
54,2019-07,20.351612903225806,25.35483870967742,2019,7,18.017311827956988,23.61881720430107,1.7360215053763497,2.3343010752688187
55,2019-08,21.13225806451613,23.44838709677419,2019,8,17.840215053763444,22.944301075268815,0.5040860215053762,3.2920430107526855
56,2019-09,15.396666666666668,20.486666666666668,2019,9,14.38188888888889,19.17255555555555,1.3141111111111172,1.0147777777777787
57,2019-10,11.422580645161291,15.151612903225804,2019,10,9.983118279569892,12.965591397849462,2.186021505376342,1.4394623655913996
58,2019-11,6.323333333333333,5.7,2019,11,4.608444444444445,7.424777777777778,-1.7247777777777777,1.714888888888888
59,2019-12,4.106451612903226,2.770967741935484,2019,12,0.930752688172043,1.325268817204301,1.4456989247311829,3.175698924731183
60,2020-01,4.080645161290323,3.0290322580645164,2020,1,-1.0021505376344086,-2.1843010752688174,5.213333333333334,5.082795698924731
61,2020-02,5.793103448275862,3.306896551724138,2020,2,0.1053128689492326,-1.0282172373081464,4.335113789032285,5.68779057932663
62,2020-03,5.116129032258065,7.235483870967743,2020,3,3.471397849462366,3.786451612903226,3.4490322580645167,1.6447311827956987
63,2020-04,10.26,8.726666666666667,2020,4,7.770111111111111,9.29211111111111,-0.5654444444444433,2.4898888888888884
64,2020-05,12.519354838709678,13.916129032258064,2020,5,13.018387096774196,15.17731182795699,-1.2611827956989252,-0.4990322580645188
