month,temperature
1,-2.1843010752688174
2,-1.0282172373081464
3,3.786451612903226
4,9.29211111111111
5,15.17731182795699
6,20.587111111111113
7,23.618817204301074
8,22.944301075268818
9,19.172555555555554
10,12.965591397849462
11,7.424777777777778
12,1.325268817204301
