,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,temperature_brooklyn,feels_like_brooklyn,snowfall_brooklyn,rain_brooklyn,humidity_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn
3342,2024-09-07,3,51,24.1,23.1,0.0,0.0,11.981547222222222,13.20075,Saturday,Cloudy,63,20.2,20.3,0.0,12.3,81,8.647786111111111,12.804044444444443,2024-09,2024,9,fall,Saturday,Rain,False,False,True,0.9076414008463324,0.6753948839082097,True,False
3343,2024-09-08,3,51,25.9,25.4,0.0,0.0,11.954661111111111,13.134508333333336,Sunday,Cloudy,0,16.7,14.0,0.0,0.0,58,11.817333333333334,12.760733333333333,2024-09,2024,9,fall,Sunday,Sunny,True,False,True,0.9101719537359494,0.9260700795670052,True,True
3349,2024-09-14,51,64,13.7,9.2,1.3,0.0,10.47201111111111,12.733272222222222,Saturday,Light Drizzle,51,21.5,23.1,0.0,0.2,78,11.611791666666663,12.49736388888889,2024-09,2024,9,fall,Saturday,Light Drizzle,False,False,True,0.8224131965729329,0.9291392784833954,True,True
3350,2024-09-15,3,68,13.6,9.8,0.0,0.0,7.915838888888889,12.665480555555556,Sunday,Cloudy,1,20.8,20.7,0.0,0.0,70,11.567516666666666,12.452805555555557,2024-09,2024,9,fall,Sunday,Mainly Sunny,False,False,True,0.6249931737028884,0.9289084789014522,False,True
3356,2024-09-21,0,58,16.5,14.1,0.0,0.0,11.152319444444444,12.256661111111113,Saturday,Sunny,3,20.2,18.8,0.0,0.0,64,11.299080555555555,12.183925,2024-09,2024,9,fall,Saturday,Cloudy,False,True,True,0.9098986537479166,0.9273760758996428,True,True
3357,2024-09-22,2,67,16.7,15.2,0.0,0.0,11.083825,12.188527777777775,Sunday,Partly Cloudy,3,19.0,17.7,0.0,0.0,65,11.11207777777778,12.139108333333333,2024-09,2024,9,fall,Sunday,Cloudy,False,False,True,0.9093653640604669,0.9153948933188624,True,True
3363,2024-09-28,51,68,12.6,8.4,0.4,0.0,10.134969444444444,11.783144444444444,Saturday,Light Drizzle,63,18.0,17.0,0.0,11.5,84,0.0,11.872580555555556,2024-09,2024,9,fall,Saturday,Rain,False,False,True,0.8601243489994653,0.0,True,False
3364,2024-09-29,3,72,9.7,6.8,0.0,0.0,10.139208333333334,11.71643888888889,Sunday,Cloudy,51,17.3,16.4,0.0,0.3,81,0.0,11.828702777777778,2024-09,2024,9,fall,Sunday,Light Drizzle,False,False,True,0.8653831108143876,0.0,True,False
3370,2024-10-05,51,80,10.9,8.7,0.1,0.0,7.645269444444445,11.311680555555556,Saturday,Light Drizzle,51,18.9,17.9,0.0,0.3,67,10.607105555555556,11.5626,2024-10,2024,10,fall,Saturday,Light Drizzle,False,False,True,0.6758738815948607,0.9173633573379306,False,True
3371,2024-10-06,3,81,9.4,7.3,0.0,0.0,4.669613888888889,11.243738888888888,Sunday,Cloudy,3,16.1,14.8,0.0,0.0,73,10.58923888888889,11.518025,2024-10,2024,10,fall,Sunday,Cloudy,False,False,True,0.4153079269301977,0.919362381040924,False,True
