,day,is_very_sunny_brooklyn,is_very_sunny_berlin
3489,2025-02-01,True,False
3490,2025-02-02,True,False
3491,2025-02-03,True,False
3492,2025-02-04,True,True
3493,2025-02-05,True,False
3494,2025-02-06,True,False
3495,2025-02-07,False,False
3496,2025-02-08,False,False
3497,2025-02-09,True,True
3498,2025-02-10,True,False
3499,2025-02-11,True,True
3500,2025-02-12,False,True
3501,2025-02-13,False,False
3502,2025-02-14,False,False
3503,2025-02-15,False,False
3504,2025-02-16,False,False
3505,2025-02-17,False,True
3506,2025-02-18,True,True
3507,2025-02-19,True,True
3508,2025-02-20,True,True
3509,2025-02-21,True,False
3510,2025-02-22,True,True
3511,2025-02-23,True,False
3512,2025-02-24,True,False
3513,2025-02-25,False,False
3514,2025-02-26,False,False
3515,2025-02-27,False,False
3516,2025-02-28,False,False
3517,2025-03-01,True,False
3518,2025-03-02,False,False
3519,2025-03-03,False,True
3520,2025-03-04,True,True
3521,2025-03-05,True,True
3522,2025-03-06,False,True
3523,2025-03-07,False,True
3524,2025-03-08,False,True
3525,2025-03-09,False,True
3526,2025-03-10,False,True
3527,2025-03-11,False,False
3528,2025-03-12,True,False
3529,2025-03-13,True,False
3530,2025-03-14,True,True
3531,2025-03-15,True,False
3532,2025-03-16,True,True
3533,2025-03-17,True,True
3534,2025-03-18,True,True
3535,2025-03-19,True,True
3536,2025-03-20,True,True
3537,2025-03-21,True,True
3538,2025-03-22,True,True
3539,2025-03-23,True,False
3540,2025-03-24,False,False
3541,2025-03-25,False,True
3542,2025-03-26,False,False
3543,2025-03-27,False,False
3544,2025-03-28,False,True
3545,2025-03-29,False,False
3546,2025-03-30,True,False
3547,2025-03-31,True,False
3548,2025-04-01,True,True
3549,2025-04-02,True,True
3550,2025-04-03,True,True
3551,2025-04-04,False,True
3552,2025-04-05,False,True
3553,2025-04-06,False,True
3554,2025-04-07,False,False
3555,2025-04-08,False,False
3556,2025-04-09,False,False
3557,2025-04-10,True,False
3558,2025-04-11,True,False
3559,2025-04-12,True,True
3560,2025-04-13,False,True
3561,2025-04-14,False,True
3562,2025-04-15,False,False
3563,2025-04-16,False,True
3564,2025-04-17,False,True
3565,2025-04-18,False,False
3566,2025-04-19,False,False
3567,2025-04-20,False,True
3568,2025-04-21,True,False
3569,2025-04-22,False,False
3570,2025-04-23,False,False
3571,2025-04-24,True,False
3572,2025-04-25,True,False
3573,2025-04-26,True,True
3574,2025-04-27,True,True
3575,2025-04-28,True,True
3576,2025-04-29,True,True
3577,2025-04-30,True,True
3578,2025-05-01,False,True
3579,2025-05-02,False,False
3580,2025-05-03,True,False
3581,2025-05-04,True,False
3582,2025-05-05,True,False
3583,2025-05-06,True,False
3584,2025-05-07,True,True
3585,2025-05-08,False,False
3586,2025-05-09,False,True
3587,2025-05-10,False,False
3588,2025-05-11,False,True
3589,2025-05-12,True,True
3590,2025-05-13,True,True
