year,temperature_berlin,temperature_brooklyn,ref_berlin,ref_brooklyn,climate_change_brooklyn,climate_change_berlin,color_berlin,color_brooklyn
1940,6.567945205479453,10.566393442622951,8.846938917583651,11.148830151957482,-0.5824367093345302,-2.2789937121041985,#08306b,#6baed6
1941,7.292602739726028,11.556712328767125,8.846938917583651,11.148830151957482,0.4078821768096432,-1.554336177857624,#2171b5,#fdd0a2
1942,7.507671232876713,11.343287671232876,8.846938917583651,11.148830151957482,0.19445751927539412,-1.3392676847069387,#4292c6,#fdd0a2
1943,9.376986301369865,11.07013698630137,8.846938917583651,11.148830151957482,-0.07869316565611228,0.5300473837862132,#f16913,#c6dbef
1944,9.037158469945355,11.464207650273224,8.846938917583651,11.148830151957482,0.31537749831574224,0.19021955236170385,#fdd0a2,#fdd0a2
1945,9.132876712328768,11.523013698630136,8.846938917583651,11.148830151957482,0.3741835466726542,0.2859377947451165,#fdd0a2,#fdd0a2
1946,8.956712328767123,12.293972602739728,8.846938917583651,11.148830151957482,1.145142450782247,0.10977341118347184,#fdd0a2,#d94801
1947,8.356712328767124,11.591506849315069,8.846938917583651,11.148830151957482,0.4426766973575873,-0.4902265888165278,#c6dbef,#fdd0a2
1948,9.338524590163937,11.261475409836065,8.846938917583651,11.148830151957482,0.11264525787858304,0.4915856725802854,#fdd0a2,#fdd0a2
1949,9.536164383561644,12.93041095890411,8.846938917583651,11.148830151957482,1.7815808069466286,0.6892254659779926,#f16913,#a63603
1950,9.187397260273972,11.243561643835616,8.846938917583651,11.148830151957482,0.09473149187813412,0.3404583426903205,#fdd0a2,#fdd0a2
1951,9.38986301369863,11.83753424657534,8.846938917583651,11.148830151957482,0.688704094617858,0.5429240961149784,#f16913,#f16913
1952,8.255737704918033,11.831420765027325,8.846938917583651,11.148830151957482,0.6825906130698431,-0.5912012126656183,#6baed6,#f16913
1953,9.8227397260274,12.512876712328769,8.846938917583651,11.148830151957482,1.3640465603712872,0.9758008084437488,#f16913,#d94801
1954,8.073424657534247,11.46821917808219,8.846938917583651,11.148830151957482,0.31938902612470876,-0.7735142600494047,#6baed6,#fdd0a2
1955,7.902465753424658,11.404383561643836,8.846938917583651,11.148830151957482,0.255553409686355,-0.9444731641589934,#6baed6,#fdd0a2
1956,7.26584699453552,10.897814207650272,8.846938917583651,11.148830151957482,-0.2510159443072091,-1.581091923048131,#2171b5,#c6dbef
1957,9.137260273972602,11.922465753424657,8.846938917583651,11.148830151957482,0.7736356014671752,0.29032135638895085,#fdd0a2,#f16913
1958,8.638356164383561,10.271506849315069,8.846938917583651,11.148830151957482,-0.877323302642413,-0.20858275320009056,#c6dbef,#6baed6
1959,9.688493150684932,11.821917808219178,8.846938917583651,11.148830151957482,0.6730876562616963,0.8415542331012809,#f16913,#f16913
1960,8.891256830601092,10.583333333333334,8.846938917583651,11.148830151957482,-0.5654968186241476,0.0443179130174407,#fdd0a2,#6baed6
1961,9.395342465753425,10.724657534246576,8.846938917583651,11.148830151957482,-0.4241726177109051,0.5484035481697731,#f16913,#c6dbef
1962,7.909315068493151,10.57095890410959,8.846938917583651,11.148830151957482,-0.5778712478478916,-0.9376238490905004,#6baed6,#6baed6
1963,7.701917808219178,10.636164383561644,8.846938917583651,11.148830151957482,-0.5126657683958378,-1.1450211093644738,#4292c6,#6baed6
1964,8.660382513661201,10.891256830601092,8.846938917583651,11.148830151957482,-0.25757332135638933,-0.18655640392245054,#c6dbef,#c6dbef
1965,7.986027397260274,10.6413698630137,8.846938917583651,11.148830151957482,-0.5074602889437809,-0.860911520323377,#6baed6,#6baed6
1966,8.876712328767123,10.87972602739726,8.846938917583651,11.148830151957482,-0.26910412456022215,0.029773411183471765,#fdd0a2,#c6dbef
1967,9.932602739726027,10.14109589041096,8.846938917583651,11.148830151957482,-1.0077342615465223,1.0856638221423758,#d94801,#4292c6
1968,8.814754098360655,10.87295081967213,8.846938917583651,11.148830151957482,-0.275879332285351,-0.0321848192229961,#c6dbef,#c6dbef
1969,7.773150684931506,10.674246575342464,8.846938917583651,11.148830151957482,-0.47458357661501793,-1.073788232652145,#4292c6,#c6dbef
1970,7.910136986301369,10.712054794520547,8.846938917583651,11.148830151957482,-0.4367753574369342,-0.9368019312822824,#6baed6,#c6dbef
1971,9.275342465753424,11.06027397260274,8.846938917583651,11.148830151957482,-0.08855617935474136,0.4284035481697721,#fdd0a2,#c6dbef
1972,8.539071038251366,10.610382513661202,8.846938917583651,11.148830151957482,-0.5384476382962795,-0.3078678793322851,#c6dbef,#6baed6
1973,8.912602739726028,12.258082191780822,8.846938917583651,11.148830151957482,1.1092520398233408,0.0656638221423762,#fdd0a2,#d94801
1974,9.411506849315067,11.563287671232878,8.846938917583651,11.148830151957482,0.41445751927539654,0.5645679317314158,#f16913,#fdd0a2
1975,9.716164383561644,12.06082191780822,8.846938917583651,11.148830151957482,0.9119917658507379,0.8692254659779923,#f16913,#f16913
1976,8.829781420765027,11.09016393442623,8.846938917583651,11.148830151957482,-0.05866621753125223,-0.01715749681862455,#c6dbef,#c6dbef
1977,9.126027397260271,11.374520547945204,8.846938917583651,11.148830151957482,0.22569039598772278,0.27908847967662,#fdd0a2,#fdd0a2
1978,8.504657534246574,10.390684931506849,8.846938917583651,11.148830151957482,-0.7581452204506327,-0.34228138333707747,#c6dbef,#6baed6
1979,8.027945205479451,11.25095890410959,8.846938917583651,11.148830151957482,0.10212875215210815,-0.8189937121042004,#6baed6,#fdd0a2
1980,7.775136612021857,11.313661202185791,8.846938917583651,11.148830151957482,0.1648310502283099,-1.0718023055617945,#4292c6,#fdd0a2
1981,8.82054794520548,11.01917808219178,8.846938917583651,11.148830151957482,-0.12965206976570087,-0.026390972378171895,#c6dbef,#c6dbef
1982,9.804657534246576,11.095068493150684,8.846938917583651,11.148830151957482,-0.053761658806797286,0.957718616662925,#f16913,#c6dbef
1983,9.903561643835618,11.881917808219177,8.846938917583651,11.148830151957482,0.733087656261695,1.056622726251966,#d94801,#f16913
1984,8.715300546448088,11.445901639344262,8.846938917583651,11.148830151957482,0.2970714873867806,-0.13163837113556376,#c6dbef,#fdd0a2
1985,8.221369863013699,11.72958904109589,8.846938917583651,11.148830151957482,0.5807588891384086,-0.6255690545699526,#6baed6,#f16913
