,day,sunny_flag_brooklyn,weather_description_brooklyn,sunny_flag_berlin,weather_description_berlin
3380,2024-10-15,False,Heavy Snow,False,Cloudy
3381,2024-10-16,False,Heavy Snow,False,Cloudy
3382,2024-10-17,False,Cloudy,False,Cloudy
3383,2024-10-18,False,Cloudy,False,Cloudy
3384,2024-10-19,False,Partly Cloudy,False,Cloudy
3385,2024-10-20,False,Partly Cloudy,False,Cloudy
3386,2024-10-21,False,Cloudy,False,Drizzle
3387,2024-10-22,False,Light Snow,False,Cloudy
3388,2024-10-23,False,Heavy Snow,False,Cloudy
3389,2024-10-24,False,Snow,False,Cloudy
3390,2024-10-25,False,Heavy Snow,False,Mainly Sunny
3391,2024-10-26,False,Snow,False,Cloudy
3392,2024-10-27,False,Heavy Snow,False,Light Drizzle
3393,2024-10-28,False,Heavy Snow,False,Light Drizzle
3394,2024-10-29,False,Cloudy,False,Light Drizzle
3395,2024-10-30,False,Cloudy,False,Cloudy
3396,2024-10-31,False,Cloudy,False,Cloudy
3397,2024-11-01,False,Heavy Snow,False,Cloudy
3398,2024-11-02,False,Heavy Snow,False,Light Drizzle
3399,2024-11-03,False,Cloudy,False,Cloudy
3400,2024-11-04,False,Snow,False,Cloudy
3401,2024-11-05,False,Heavy Snow,False,Cloudy
3402,2024-11-06,False,Heavy Snow,False,Cloudy
3403,2024-11-07,False,Heavy Snow,False,Cloudy
3404,2024-11-08,False,Snow,False,Cloudy
3405,2024-11-09,False,Cloudy,False,Cloudy
3406,2024-11-10,False,Snow,False,Cloudy
3407,2024-11-11,False,Snow,False,Light Drizzle
3408,2024-11-12,False,Snow,False,Light Drizzle
3409,2024-11-13,False,Heavy Snow,False,Light Drizzle
3410,2024-11-14,False,Cloudy,False,Light Drizzle
3411,2024-11-15,False,Cloudy,False,Light Drizzle
3412,2024-11-16,False,Cloudy,False,Cloudy
3413,2024-11-17,False,Cloudy,False,Heavy Drizzle
3414,2024-11-18,False,Snow,False,Light Drizzle
3415,2024-11-19,False,Heavy Snow,False,Snow
3416,2024-11-20,False,Heavy Snow,False,Light Snow
3417,2024-11-21,False,Snow,False,Light Snow
3418,2024-11-22,False,Cloudy,False,Light Snow
3419,2024-11-23,True,Sunny,False,Light Drizzle
